NUTS_ID,Country,Name,Exposed_Total,Regional_Total,Pct_Total,Exposed_Under15,Regional_Under15,Pct_Under15,Exposed_15_64,Regional_15_64,Pct_15_64,Exposed_65plus,Regional_65plus,Pct_65plus
SE11,SE,Stockholm,0,2367591,0.0,0,433736,0.0,0,1552046,0.0,0,381769,0.0
SE12,SE,Östra Mellansverige,3,1743423,0.0,0,306849,0.0,2,1071230,0.0,0,365488,0.0
SE21,SE,Småland med öarna,0,867887,0.0,0,152903,0.0,0,518716,0.0,0,196766,0.0
SE22,SE,Sydsverige,6,1529752,0.0,0,275862,0.0,3,947694,0.0,0,306170,0.0
SE23,SE,Västsverige,0,2054301,0.0,0,363248,0.0,0,1278957,0.0,0,412201,0.0
SE31,SE,Norra Mellansverige,0,855217,0.0,0,141693,0.0,0,502889,0.0,0,211036,0.0
SE32,SE,Mellersta Norrland,0,369383,0.0,0,61441,0.0,0,218173,0.0,0,89559,0.0
SE33,SE,Övre Norrland,0,516218,0.0,0,83400,0.0,0,314012,0.0,0,118633,0.0
SI03,SI,Vzhodna Slovenija,0,1103179,0.0,0,111459,0.0,0,638352,0.0,0,163478,0.0
SI04,SI,Zahodna Slovenija,584,996154,0.06,71,155096,0.05,358,640751,0.06,150,200302,0.07
SK01,SK,Bratislavský kraj,0,719182,0.0,0,120957,0.0,0,472505,0.0,0,125718,0.0
SK03,SK,Stredné Slovensko,0,1317320,0.0,0,203313,0.0,0,889165,0.0,0,224833,0.0
SK04,SK,Východné Slovensko,0,1591997,0.0,0,274808,0.0,0,1063004,0.0,0,224158,0.0
TR10,TR,İstanbul,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR21,TR,"Tekirdağ, Edirne, Kırklareli",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR22,TR,"Balıkesir, Çanakkale",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR31,TR,İzmir,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR32,TR,"Aydın, Denizli, Muğla",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR33,TR,"Manisa, Afyonkarahisar, Kütahya, Uşak",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR41,TR,"Bursa, Eskişehir, Bilecik",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR42,TR,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR51,TR,Ankara,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR52,TR,"Konya, Karaman",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR61,TR,"Antalya, Isparta, Burdur",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR62,TR,"Adana, Mersin",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR63,TR,"Hatay, Kahramanmaraş, Osmaniye",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR71,TR,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR72,TR,"Kayseri, Sivas, Yozgat",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR81,TR,"Zonguldak, Karabük, Bartın",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR82,TR,"Kastamonu, Çankırı, Sinop",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR83,TR,"Samsun, Tokat, Çorum, Amasya",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TR90,TR,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TRA1,TR,"Erzurum, Erzincan, Bayburt",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TRA2,TR,"Ağrı, Kars, Iğdır, Ardahan",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TRB1,TR,"Malatya, Elazığ, Bingöl, Tunceli",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TRB2,TR,"Van, Muş, Bitlis, Hakkari",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TRC1,TR,"Gaziantep, Adıyaman, Kilis",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TRC2,TR,"Şanlıurfa, Diyarbakır",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
TRC3,TR,"Mardin, Batman, Şırnak, Siirt",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKC1,UK,Tees Valley and Durham,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKC2,UK,Northumberland and Tyne and Wear,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKD1,UK,Cumbria,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKD3,UK,Greater Manchester,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKD4,UK,Lancashire,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKD6,UK,Cheshire,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKE1,UK,East Yorkshire and Northern Lincolnshire,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKE2,UK,North Yorkshire,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKE3,UK,South Yorkshire,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKE4,UK,West Yorkshire,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKF1,UK,Derbyshire and Nottinghamshire,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKF3,UK,Lincolnshire,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKH1,UK,East Anglia,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKJ1,UK,"Berkshire, Buckinghamshire and Oxfordshire",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKJ2,UK,"Surrey, East and West Sussex",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKJ3,UK,Hampshire and Isle of Wight,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKK1,UK,"Gloucestershire, Wiltshire and Bristol/Bath area",0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKK2,UK,Dorset and Somerset,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKK3,UK,Cornwall and Isles of Scilly,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKK4,UK,Devon,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKL1,UK,West Wales and The Valleys,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKL2,UK,East Wales,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKM5,UK,North Eastern Scotland,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKM6,UK,Highlands and Islands,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKM7,UK,Eastern Scotland,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKM8,UK,West Central Scotland,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKM9,UK,Southern Scotland,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
UKN0,UK,Northern Ireland,0,981,0.0,0,174,0.0,0,621,0.0,0,186,0.0
